#T/C	I/A
-50.0	1.2e-11
-49.0 1.3e-11
-48.0 1.3e-11
-47.0 1.3e-11
-46.0 1.3e-11
-45.0 1.3e-11
-44.0 1.4e-11
-43.0 1.4e-11
-42.0 1.4e-11
-41.0 1.5e-11
-40.0 1.5e-11
-39.0 1.6e-11
-38.0 1.7e-11
-37.0 1.8e-11
-36.0 1.9e-11
-35.0 2.1e-11
-34.0 2.3e-11
-33.0 2.5e-11
-32.0 2.9e-11
-31.0 3.2e-11
-30.0 3.7e-11
-29.0 4.2e-11
-28.0 4.6e-11
-27.0 5.3e-11
-26.0 6.1e-11
-25.0 6.8e-11
-24.5 7.2e-11
-24.0 7.6e-11
-23.5 8.0e-11
-23.0 8.5e-11
-22.5 8.9e-11
-22.0 9.2e-11
-21.5 9.7e-11
-21.0 1.1e-10
-20.5 1.2e-10
-20.0 1.3e-10
-19.5 1.3e-10
-19.0 1.4e-10
-18.0 1.5e-10
-17.0 1.5e-10
-16.0 1.5e-10
-15.0 1.5e-10
-14.0 1.5e-10
-13.0 1.4e-10
-12.0 1.4e-10
-11.0 1.3e-10
-10.0 1.2e-10
-9.0 1.1e-10
-8.0 1.0e-10
-7.0 7.3e-11
-6.0 6.5e-11
-5.5 6.1e-11
-5.0 5.7e-11
-4.5 5.5e-11
-4.0 5.2e-11
-3.0 4.9e-11
-2.0 4.7e-11
-1.0 4.6e-11
0.0 4.6e-11
1.0 4.7e-11
2.0 4.9e-11
3.0  5.0e-11
4.0  5.2e-11
5.0  5.4e-11
6.0  5.6e-11
7.0  5.8e-11
8.0  6.0e-11
9.0  6.2e-11
10.0  6.4e-11
11.0  6.6e-11
12.0  6.8e-11
13.0  7.0e-11
14.0  7.2e-11
15.0  7.4e-11
16.0  7.7e-11
17.0  7.9e-11
18.0  8.3e-11
19.0  8.6e-11
20.0  9.0e-11
21.0  9.5e-11
22.0  1.1e-10
23.0  1.2e-10
24.0  1.2e-10
25.0  1.3e-10
26.0  1.4e-10
27.0  1.5e-10
28.0  1.5e-10
29.0  1.6e-10
30.0  1.7e-10
31.0  1.8e-10
32.0  1.9e-10
33.0  1.9e-10
34.0  2.0e-10
35.0  2.0e-10
36.0  2.0e-10
37.0  2.0e-10
38.0  2.0e-10
39.0  2.0e-10
40.0  2.0e-10
41.0  1.9e-10
42.0  1.9e-10
43.0  1.8e-10
44.0  1.8e-10
45.0  1.7e-10
46.0  1.6e-10
47.0  1.5e-10
48.0  1.5e-10
49.0  1.4e-10
50.0  1.4e-10
