# f U_A phi U_1
0.01  2.49  172 0.233
0.1 2.37  172 0.233
0.5 2.37  172 0.233
1 2.31  171 0.233
10  2.20  164 0.233
25  2.10  155 0.233
50  1.90  141 0.233
75  1.66  129 0.233
100 1.44  119 0.233
125 1.24  112 0.233
150 1.08  106 0.233
175 0.95  100 0.233
200 0.85  96 0.233
225 0.77  92 0.233
250 0.71  90 0.233
275 0.65  85 0.233
300 0.60  82 0.233
325 0.55  80 0.233
350 0.53  79 0.233
375 0.49  78 0.233
450 0.43  70 0.233
400 0.47  75 0.233
500 0.39  65 0.233
550 0.37  65 0.233
600 0.33  60 0.233
650 0.31  55 0.233
700 0.29  50 0.233
750 0.27  50 0.233
800 0.25  45 0.233
850 0.23  45 0.233
900 0.23  45 0.233
